well_id,lat,lon,arsenic_ug_l
S98_03110,22.628,89.122,40.1
S98_03111,22.685,89.122,108
S98_03112,22.711,89.107,72.9
S98_03113,22.887,89.535,168
S98_03114,22.862,89.556,< 0.5
S98_03115,22.918,89.569,0.9
S98_03116,22.959,89.556,< 0.5
S98_03117,22.896,89.508,39.4
S98_03118,22.819,89.421,2.8
S98_03119,22.753,89.419,33.8
S98_03120,22.698,89.434,36.2
S98_03121,22.825,89.274,65.7
S98_03122,22.823,89.331,39.6
S98_03123,22.856,89.359,0.9
S98_03124,22.861,89.422,1.1
S98_03125,22.778,89.706,0.8
S98_03126,22.672,89.618,127
S98_03127,22.709,89.635,15
S98_03128,22.739,89.652,453
S98_03129,22.751,89.714,571
S98_03130,22.78,89.726,355
S98_03131,22.883,89.518,< 0.5
S98_03132,22.889,89.506,3
S98_03133,22.862,89.542,1.7
S98_03134,22.866,89.541,< 0.5
S98_03135,22.855,89.542,39
S98_03136,22.865,89.525,62.8
S98_03137,22.483,89.011,24.5
S98_03138,22.455,89.028,5.1
S98_03139,22.392,89.015,15.4
S98_03140,22.393,88.998,0.7
S98_03141,22.376,89.031,18.5
S98_03142,22.435,89.095,2
S98_03143,22.49,89.059,24
S98_03144,22.608,89.001,3.5
S98_03145,22.607,88.999,221
S98_03146,22.558,89.007,192
S98_03147,22.564,88.981,73.5
S98_03148,22.576,88.965,58.7
S98_03149,22.605,88.961,315
S98_03150,22.902,89.768,< 0.5
S98_03151,22.902,89.768,317
S98_03152,22.927,89.81,103
S98_03153,22.898,89.81,128
S98_03154,22.855,89.819,46.9
S98_03155,22.869,89.748,252
S98_03156,22.575,89.659,148
S98_03157,22.575,89.659,3.2
S98_03158,22.579,89.665,129
S98_03159,22.597,89.641,37.6
S98_03160,22.629,89.61,424
S98_03161,22.677,89.652,472
S98_03162,22.642,89.643,339
S98_03163,23.374,89.369,216
S98_03164,23.411,89.292,49.5
S98_03165,23.375,89.308,< 0.5
S98_03166,23.329,89.345,64.7
S98_03167,23.301,89.402,0.5
S98_03168,23.327,89.401,< 0.5
S98_03169,23.041,89.635,13.2
S98_03170,23.048,89.644,200
S98_03171,23.02,89.716,165
S98_03172,23.02,89.664,228
S98_03173,22.751,89.02,73.5
S98_03174,22.745,88.925,262
S98_03175,22.751,88.941,266
S98_03176,22.693,88.985,1.1
S98_03177,22.693,88.985,136
S98_03178,22.683,89.024,82.8
S98_03179,22.647,88.934,9.4
S98_03180,22.86,89.04,187
S98_03181,22.917,89.014,92.5
S98_03182,22.923,89.096,106
S98_03183,22.873,89.084,181
S98_03184,22.836,89.011,453
S98_03185,22.841,88.974,328
S98_03186,22.901,88.949,88
S98_03187,22.371,89.175,< 0.5
S98_03188,22.305,89.11,168
S98_03189,22.305,89.111,2
S98_03190,22.333,89.04,17.4
S98_03191,22.711,89.107,143
S98_03192,22.703,89.073,3.5
S98_03193,22.703,89.054,227
S98_03194,22.57,89.076,56.2
S98_03195,22.733,89.297,75.8
S98_03196,22.782,89.251,16.6
S98_03197,22.782,89.251,15.5
S98_03198,22.778,89.205,270
S98_03199,22.679,89.256,233
S98_03200,22.721,89.207,291
S98_03201,22.765,89.143,108
S98_03202,22.795,89.12,319
S98_03203,22.504,89.199,330
S98_03204,22.414,89.217,261
S98_03205,22.535,89.12,< 0.5
S98_03206,22.535,89.12,86.2
S98_03207,22.615,89.15,236
S98_03208,22.666,89.876,103
